Site2_MeltingT,Site1_MendeleevNumber,Site1_MiracleRadius,GSestFCClatcnt_max_value,Site2_BCCenergy_pa,Site1_BCCfermi,CovalentRadius_difference,n_ws^third_composition_average,Site2_Row,Site1_HHIr,Site1_BCCvolume_padiff,BoilingT_composition_average,NdUnfilled_max_value,Site2_GSenergy_pa,SpecificHeatCapacity_difference,Site1_ElasticModulus,AtomicRadii_min_value,valence_composition_average,BCCfermi_composition_average,n_ws^third_min_value,Reduced barrier (eV),Host element,Solute element,predict_Pt
2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Cr,0
2610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Cu,0
2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Fe,0
2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Ga,0
2640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Ge,0
2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Hf,0
2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Hg,0
2670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,In,0
2680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Ir,0
2690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Mg,0
2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Mn,0
2710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Mo,0
2720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Nb,0
2730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Os,0
2740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Pb,0
2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Pd,0
2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Pt,0
2770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Re,0
2780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Rh,0
2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Ru,0
2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,S,0
2810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Sb,0
2820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Sc,0
2830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Si,0
2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Sn,0
2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Ta,0
2860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Tc,0
2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Ti,0
2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Tl,0
2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,V,0
2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,W,0
2910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Zn,0
2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni,Zr,0
2930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pb,Pb,0
2940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pb,Ag,0
2950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pb,Cd,0
2960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pb,Mo,0
2970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pb,Nb,0
2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pb,Pd,0
2990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pb,Y,0
3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pb,Zr,0
3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Pd,0
3020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Ag,0
3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Au,0
3040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Cd,0
3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Co,0
3060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Cr,0
3070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Cu,0
3080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Fe,0
3090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Hf,0
3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Hg,0
3110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Ir,0
3120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,La,0
3130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Mn,0
3140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Mo,0
3150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Nb,0
3160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Ni,0
3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Os,0
3180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Pt,0
3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Re,0
3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Rh,0
3210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Ru,0
3220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Sc,0
3230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Ta,0
3240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Tc,0
3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Ti,0
3260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,V,0
3270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,W,0
3280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Y,0
3290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Zn,0
3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pd,Zr,0
3310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Pt,1
3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Ag,1
3330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Au,1
3340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Cd,1
3350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Co,1
3360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Cr,1
3370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Cu,1
3380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Fe,1
3390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Hf,1
3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Hg,1
3410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Ir,1
3420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,La,1
3430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Mn,1
3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Mo,1
3450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Nb,1
3460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Ni,1
3470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Os,1
3480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Pd,1
3490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Re,1
3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Rh,1
3510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Ru,1
3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Sc,1
3530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Ta,1
3540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Tc,1
3550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Ti,1
3560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,V,1
3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,W,1
3580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Y,1
3590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Zn,1
3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pt,Zr,1
3610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,W,0
3620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Ag,0
3630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Al,0
3640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,As,0
3650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Au,0
3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Ca,0
3670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Cd,0
3680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Co,0
3690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Cr,0
3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Cu,0
3710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Fe,0
3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Ga,0
3730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Ge,0
3740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Hf,0
3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Hg,0
3760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,In,0
3770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Mg,0
3780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Mn,0
3790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Mo,0
3800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Ni,0
3810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,P,0
3820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Pd,0
3830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Pt,0
3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Rh,0
3850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Ru,0
3860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Sc,0
3870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Si,0
3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Sr,0
3890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Tl,0
3900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,V,0
3910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Y,0
3920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Zn,0
3930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,Zr,0
3940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Zr,0
3950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Cr,0
3960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Cu,0
3970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,V,0
3980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Zn,0
3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Mo,0
4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,W,0
4010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Al,0
4020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Au,0
4030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Ag,0
4040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Nb,0
4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Ta,0
4060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Ti,0
4070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Hf,0
4080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Sn,0
4090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zr,Sn,0
